Family	Binomial	A
Cornaceae	Cornus_macrophylla	0.003307492
Cornaceae	Cornus_mas	0.001385442
Cornaceae	Cornus_meyeri	0.000804248
Cornaceae	Cornus_mombeigii	0.002463009
Cornaceae	Cornus_nuttalli	0.002551759
Cornaceae	Cornus_oblonga	0.002375829
Cornaceae	Cornus_occidentalis	0.002123717
Cornaceae	Cornus_officinalis	0.001256637
Cornaceae	Cornus_parviflora	0.002123717
Cornaceae	Cornus_peruviana	0.003216991
Cornaceae	Cornus_poliophylla	0.001520531
Cornaceae	Cornus_purpusii	0.001256637
Cornaceae	Cornus_racemosa	0.001017876
Cornaceae	Cornus_rugosa	0.001017876
Cornaceae	Cornus_sanguinea	0.001214226
Cornaceae	Cornus_schindleri	0.00090792
Cornaceae	Cornus_sessilis	0.001590431
Cornaceae	Cornus_stolonifera	0.001134115
Cornaceae	Cornus_stricta	0.002290221
Cornaceae	Cornus_tonkinensis	0.003525652
Cornaceae	Cornus_volkensii	0.005808805
Cornaceae	Cornus_walteri	0.003216991
Cornaceae	Cornus_wilsoniana	0.003525652
Escalloniaceae	Corokia_buddleioides	0.000483051
Escalloniaceae	Corokia_buddleoides	0.000415476
Escalloniaceae	Corokia_collenettei	0.000855299
Escalloniaceae	Corokia_cotoneaster	0.00024453
Escalloniaceae	Corokia_macrocarpa	0.000300116
Escalloniaceae	Corokia_whiteana	0.000254469
Fabaceae	Coronilla_emerus	0.00090792
Betulaceae	Corylus_avellana	0.001590431
Betulaceae	Corylus_ferox	0.001520531
Corynocarpaceae	Corynocarpus_laevigata	0.003971759
Ericaceae	Cosmelia_rubra	0.000132732
Rosaceae	Cotoneaster_granatensis	0.000415476
Rosaceae	Cotoneaster_integerrimus	0.000490874
Rosaceae	Cotoneaster_microphyllus	0.000572555
Rosaceae	Cotoneaster_multiflora	0.000490874
Rosaceae	Cotoneaster_nummularia	0.000314159
Dipterocarpaceae	Cotylelobium_sp	0.013273229
Lecythidaceae	Couratari_guianensis	0.028352874
Lecythidaceae	Couratari_sp	0.028352874
Lecythidaceae	Couroupita_guianensis	0.059395736
Lecythidaceae	Couroupita_nicaraguarensis	0.043373614
Lecythidaceae	Couroupita_sp	0.038013271
Lecythidaceae	Couroupita_subsessilis	0.033006358
Ericaceae	Craibiodendron_stellatum	0.001885741
Rosaceae	Crataegus_aronia	0.000994707
Rosaceae	Crataegus_aurantia	0.000572555
Rosaceae	Crataegus_azarolus	0.001207157
Rosaceae	Crataegus_calycina	0.001256637
Rosaceae	Crataegus_cuneata	0.000804248
Rosaceae	Crataegus_douglasii	0.001256637
Rosaceae	Crataegus_hupehensis	0.000735525
Rosaceae	Crataegus_laciniata	0.001256637
Rosaceae	Crataegus_maximowiczii	0.000380133
Rosaceae	Crataegus_monogyna	0.000635387
Rosaceae	Crataegus_oresbia	0.000572555
Rosaceae	Crataegus_oxycantha	0.001194591
Rosaceae	Crataegus_pinnatifida	0.000892998
Rosaceae	Crataegus_pycnoloba	0.000706858
Rosaceae	Crataegus_shensiensis	0.00066052
Rosaceae	Crataegus_sinaica	0.000881609
Rosaceae	Crataegus_sp	0.000706858
Rosaceae	Crataegus_wattiana	0.000855299
Rosaceae	Crataegus_wilsonii	0.000754768
Clusiaceae	Cratoxylum_arborescens	0.031415927
Bignoniaceae	Crescentia_sp	0.002642079
Acanthaceae	Crossandra_poissonii	0.005674502
Lauraceae	Cryptocarya_caloneura	0.022698007
Lauraceae	Cryptocarya_minutifolia	0.006361725
Lauraceae	Cryptocarya_natalensis	0.009503318
Celastraceae	Cuervea_kappleriana	0.028352874
Cornaceae	Curtisia_dentata	0.002123717
Rubiaceae	Cuviera_longiflora	0.001963495
Rubiaceae	Cuviera_nigrescens	0.001256637
Ericaceae	Cyathodes_glauca	0.000452389
Bignoniaceae	Cydista_aequinoctialis	0.010568318
Rosaceae	Cydonia_oblonga	0.001134115
